,รายการ,ยอด,รวม
8/10,ค่าที่พัก,2605,2605
18/10,น้ำมันรถ,930,3535
,ก๋วยเตี๋ยวเรือ,101,3636
,กาแฟ ขนม,195,3831
,ลุงไสว,60,3891
,family mart,264,4155
,ทางด่วน,170,4325
,เปลี่ยนกระทะล้อ,320,4645
19/10/64,ค่ารถ,300,4945
,น้ำจิ้ม,50,4995
,อาหารทะเล,330,5325
,ผัก,43,5368
,ข้าวมันไก่ ขาหมู,50,5418
,งบ,30,5448
,กาแฟ,49,5467
20/10,ข้าวแกง,120,5587
,กุ้ง,115,5702
,กั้ง,50,5752
,ปูม้า,330,6082
,ปูทะเล,340,6422
,หอยหวาน,30,6452
,ปลาหมึก,115,6567
,ข้าวเหนียวมูน,110,6677
,ข้าวเหนียวหมู,60,6737
,ทุเรียน,430,7167
,กาแฟ 2,80,7247
,โลตัส,70,7317
,ร้าน 20 บาท,120,7437
,ห่อหมก,50,7487
,เบียร์,609,8046
21/10,,,
